"Number","Name","Nat","Pos","Height","Weight","Date of Birth","Birth Place","Previous Club","Team","League","lat","long"
"7","Jóhann Guðmundsson","ISL","M","1.86","79","27-10-90","Reykjavík","Charlton Ath","Burnley","England",64.145981,-21.9422367
"8","Josh Brownhill","ENG","M","1.79","69","19-12-95","Warrington","Bristol C","Burnley","England",53.4018582,-2.5680223597163
"9","Chris Wood","NZL","F","1.91","91","07-12-91","Auckland","Leeds U","Burnley","England",-36.852095,174.7631803
"10","Ashley Barnes","AUT","F","1.86","77","31-10-89","Bath","Brighton & HA","Burnley","England",51.38092635,-2.37418971512966
"11","Dwight McNeil","ENG","M","1.83","68","22-11-99","Rochdale","None","Burnley","England",53.6153659,-2.1557561
"12","Robbie Brady","IRL","M","1.75","69","14-01-92","Dublin","Norwich C","Burnley","England",53.3497645,-6.2602732
"13","Jeff Hendrick","IRL","M","1.85","79","31-01-92","Dublin","Derby Co","Burnley","England",53.3497645,-6.2602732
"14","Ben Gibson","ENG","D","1.85","78","15-01-93","Nunthorpe","Middlesbrough","Burnley","England",54.5278914,-1.1696095
"15","Bailey Peacock-Farrell","NIR","G","1.88","73","29-10-96","Darlington","Leeds U","Burnley","England",54.5242081,-1.5555812
"16","","","","","","","","","Burnley","England",NA,NA
"17","","","","","","","","","Burnley","England",NA,NA
"18","Ashley Westwood","ENG","M","1.70","81","01-04-90","Nantwich","Aston Villa","Burnley","England",53.0671376,-2.5221184
"19","Jay Rodriguez","ENG","F","1.85","80","29-07-89","Burnley","WBA","Burnley","England",53.7907262,-2.2439196
"20","Joe Hart","ENG","G","1.96","91","19-04-87","Shrewsbury","Manchester C","Burnley","England",52.707755,-2.7540658
"21","","","","","","","","","Burnley","England",NA,NA
"22","","","","","","","","","Burnley","England",NA,NA
"23","Erik Pieters","NED","D","1.83","83","07-08-88","Tiel","Stoke C","Burnley","England",51.89242535,5.43043817413793
"24","","","","","","","","","Burnley","England",NA,NA
"25","Aaron Lennon","ENG","M","1.65","63","16-04-87","Chapeltown","Everton","Burnley","England",53.4619775,-1.4654915
"26","Phillip Bardsley","SCO","D","1.80","78","28-06-85","Salford","Stoke C","Burnley","England",53.4877463,-2.2891921
"27","Matej Vydra","CZE","F","1.80","73","01-05-92","Chotebor","Derby Co","Burnley","England",49.7205393,15.6699904
"28","Kevin Long","IRL","D","1.88","83","18-08-90","Cork","Cork C","Burnley","England",51.8979282,-8.4705806
"29","","","","","","","","","Burnley","England",NA,NA
"30","Adam Legzdins","ENG","G","1.83","78","28-11-86","Stafford","Birmingham C","Burnley","England",52.8063157,-2.1163818
"31","","","","","","","","","Burnley","England",NA,NA
"32","","","","","","","","","Burnley","England",NA,NA
"33","","","","","","","","","Burnley","England",NA,NA
"34","Jimmy Dunne","IRL","D","","","19-10-97","Dundalk","Manchester U","Burnley","England",54.0046033,-6.4008879
"35","","","","","","","","","Burnley","England",NA,NA
"36","","","","","","","","","Burnley","England",NA,NA
"37","","","","","","","","","Burnley","England",NA,NA
"38","Lewis Richardson","ENG","F","","","07-02-03","","None","Burnley","England",NA,NA
"39","","","","","","","","","Burnley","England",NA,NA
"40","","","","","","","","","Burnley","England",NA,NA
"42","Ali Koiki","ENG","D","1.87","81","22-08-99","Chelsea","Crystal Palace","Burnley","England",51.4875417,-0.1682205
"44","Mace Goodridge","ENG","M","","","13-09-99","Manchester","Newcastle U","Burnley","England",53.4794892,-2.2451148
"1","Kepa Arrizabalaga","ESP","G","1.89","84","03-10-94","Ondarroa","Athletic Bilbao","Chelsea","England",43.3207293,-2.4207497
"2","Antonio Rüdiger","GER","D","1.90","85","03-03-93","Berlin","Roma","Chelsea","England",52.5170365,13.3888599
"3","Marcos Alonso","ESP","D","1.88","84","28-12-90","Madrid","Fiorentina","Chelsea","England",40.4167047,-3.7035825
"4","Andreas Christensen","DEN","D","1.88","68","10-04-96","Allerød","Brøndby","Chelsea","England",55.8710792,12.3569245
"5","Jorginho","ITA","M","1.80","65","21-12-91","Imbituba","Napoli","Chelsea","England",-28.241827,-48.6643444
"6","","","","","","","","","Chelsea","England",NA,NA
"7","Ngolo Kanté","FRA","M","1.68","68","29-03-91","Paris","Leicester C","Chelsea","England",48.8566969,2.3514616
"8","Ross Barkley","ENG","M","1.89","76","05-12-93","Liverpool","Everton","Chelsea","England",53.407154,-2.991665
"9","Tammy Abraham","ENG","F","1.90","72","02-10-97","Camberwell","None","Chelsea","England",51.4745706,-0.0925416
"10","Willian","BRA","M","1.75","77","09-08-88","Ribeirão Pires","Anzhi Makhachkala","Chelsea","England",-23.7129388,-46.4150871
"11","Pedro","ESP","M","1.69","65","28-07-87","Santa Cruz de Tenerife","Barcelona","Chelsea","England",28.469648,-16.2540884
"12","Ruben Loftus-Cheek","ENG","M","1.91","88","23-01-96","Lewisham","None","Chelsea","England",51.4624325,-0.0101331
"13","Wilfredo Caballero","ARG","G","1.86","80","28-09-81","Salta Elena","Manchester C","Chelsea","England",-32.5691436,-64.3964193
"14","","","","","","","","","Chelsea","England",NA,NA
"15","Kurt Zouma","FRA","D","1.90","96","27-10-94","Lyon","St-Etienne","Chelsea","England",45.7578137,4.8320114
"16","","","","","","","","","Chelsea","England",NA,NA
"17","Mateo Kovacic","CRO","M","1.81","75","06-05-94","Linz","Real Madrid","Chelsea","England",48.3059078,14.286198
"18","Olivier Giroud","FRA","F","1.92","88","30-09-86","Chambéry","Arsenal","Chelsea","England",45.5662672,5.9203636
"19","Mason Mount","ENG","M","1.78","64","10-01-99","Portsmouth","None","Chelsea","England",50.8036831,-1.075614
"20","Callum Hudson-Odoi","ENG","M","1.77","75","07-11-00","Wandsworth","None","Chelsea","England",51.4570271,-0.1932607
"21","","","","","","","","","Chelsea","England",NA,NA
"22","Christian Pulisic","USA","F","1.73","63","18-09-98","Easton","Borussia Dortmund","Chelsea","England",40.6916081,-75.2099866
"23","Michy Batshuayi","BEL","F","1.85","86","02-10-93","Brussels","Marseille","Chelsea","England",50.8436709,4.36743669338796
"24","Reece James","ENG","D","1.83","71","08-12-99","Redbridge","None","Chelsea","England",51.5763203,0.0454097
"25","","","","","","","","","Chelsea","England",NA,NA
"26","","","","","","","","","Chelsea","England",NA,NA
"27","","","","","","","","","Chelsea","England",NA,NA
"28","César Azpilicueta","ESP","D","1.78","78","28-08-89","Pamplona","Marseille","Chelsea","England",42.8184538,-1.6442556
"29","Fikayo Tomori","ENG","D","1.84","75","19-12-97","Calgary","None","Chelsea","England",51.0534234,-114.0625892
"30","","","","","","","","","Chelsea","England",NA,NA
"31","Jamie Cumming","ENG","G","1.88","74","04-09-99","Winchester","None","Chelsea","England",51.0612766,-1.3131692
"32","","","","","","","","","Chelsea","England",NA,NA
"33","Emerson Palmieri","ITA","D","1.76","63","03-08-94","Santos","Roma","Chelsea","England",-23.960833,-46.333889
"34","","","","","","","","","Chelsea","England",NA,NA
"35","","","","","","","","","Chelsea","England",NA,NA
"36","","","","","","","","","Chelsea","England",NA,NA
"37","","","","","","","","","Chelsea","England",NA,NA
"38","","","","","","","","","Chelsea","England",NA,NA
"39","","","","","","","","","Chelsea","England",NA,NA
"40","Karlo Žiger","CRO","G","","","11-05-01","Zagreb","Zagreb","Chelsea","England",45.813177,15.977048
"45","George McEachran","ENG","M","","","30-08-00","Oxford","None","Chelsea","England",51.7520131,-1.2578499
"46","Tariq Uwakwe","ENG","M","","","19-11-99","Islington","None","Chelsea","England",51.5384287,-0.0999051
"47","Billy Gilmour","SCO","M","","","11-06-01","","Rangers","Chelsea","England",NA,NA
"49","Marcel Lavinier","POR","D","","","16-12-00","Chelsea","None","Chelsea","England",51.4875417,-0.1682205
"50","Nicolas Tie","FRA","G","","","13-02-01","Lille","Poitiers","Chelsea","England",50.6365654,3.0635282
"52","Jon Russell","ENG","M","","","09-10-00","Hounslow","None","Chelsea","England",51.4686132,-0.3613471
"53","Jack Wakely","ENG","D","","","25-10-00","High Wycombe","None","Chelsea","England",51.627422,-0.7484153
"54","Jordan Aina","ENG","D","","","01-12-01","Southwark","None","Chelsea","England",51.5029222,-0.103458
"55","Faustino Anjorin","ENG","M","","","23-11-01","Poole","None","Chelsea","England",50.7179472,-1.981521
"56","Thierno Ballo","AUT","M","","","02-01-02","Abidjan","Viktoria Köln","Chelsea","England",5.320357,-4.016107
"57","Armand Broja","ALB","F","","","10-09-01","Slough","None","Chelsea","England",51.50342695,-0.574872152385296
"58","James Clark","ENG","D","","","05-09-01","Ealing","Leatherhead","Chelsea","England",51.5126553,-0.3051952
"59","Pierre Ekwah Elimby","FRA","D","","","15-01-02","Massy","Nantes","Chelsea","England",49.6902106,1.399492
"60","Jake Askew","ENG","G","","","08-02-02","Hillingdon","None","Chelsea","England",51.5425193,-0.448334931179497
"61","Henry Lawrence","ENG","M","","","21-09-01","London","None","Chelsea","England",51.5073219,-0.1276474
"62","Marcel Lewis","ENG","M","","","30-09-01","Cambridge","None","Chelsea","England",52.2034823,0.1235817
"63","Ian Maatsen","NED","D","","","10-03-02","Vlaardingen","PSV Eindhoven","Chelsea","England",51.9227863,4.32956337887085
"64","Sam McClelland","NIR","D","","","04-01-02","Coleraine","Coleraine","Chelsea","England",47.28883,-93.427708
"65","George Nunn","ENG","F","","","23-11-01","Crewe","None","Chelsea","England",37.1732075,-78.1233329
"66","Dynel Simeu","ENG","D","","","13-03-02","Yaoundé","None","Chelsea","England",3.8689867,11.5213344
"67","Levi Colwill","ENG","D","","","26-02-03","Southampton","None","Chelsea","England",50.9025349,-1.404189
"68","Xavier Simons","ENG","M","","","20-02-03","Hammersmith","Brenford","Chelsea","England",51.4920377,-0.2236401
"70","Ethan Wady","USA","G","","","25-01-02","San Jose","None","Chelsea","England",37.3361905,-121.8905833
"71","Lucas Bergstrom","FIN","G","","","05-09-02","Paragas","Turun PS","Chelsea","England",-2.42385255,-54.7419350429084
"72","Tino Livramento","ENG","D","","","12-11-02","Croydon","None","Chelsea","England",51.3713049,-0.101957
"1","","","","","","","","","
Crystal Palace","England",NA,NA
"2","Joel Ward","ENG","D","1.88","83","29-10-89","Emsworth","Portsmouth","
Crystal Palace","England",50.8473211,-0.9371343
"3","Patrick van Aanholt","NED","D","1.75","67","29-08-90","'s-Hertogenbosch","Sunderland","
Crystal Palace","England",51.7099698,5.29191613945104
"4","Luka Milivojevic","SRB","M","1.83","75","07-04-91","Kragujevac","Olympiakos","
Crystal Palace","England",44.0125745,20.91877
"5","James Tomkins","ENG","D","1.92","74","29-03-89","Basildon","West Ham U","
Crystal Palace","England",51.5754602,0.4757363
"6","Scott Dann","ENG","D","1.95","78","14-02-87","Liverpool","Blackburn R","
Crystal Palace","England",53.407154,-2.991665
"7","Max Meyer","GER","M","1.69","65","18-09-95","Oberhausen","Schalke","
Crystal Palace","England",51.4696137,6.8514435
"8","Cheikhou Kouyaté","SEN","M","1.89","83","21-12-89","Dakar","West Ham U","
Crystal Palace","England",14.693425,-17.447938
"9","Jordan Ayew","GHA","F","1.82","81","11-09-91","Marseille","Swansea C","
Crystal Palace","England",43.2961743,5.3699525
"10","Andros Townsend","ENG","M","1.81","77","16-07-91","Whipps Cross","Newcastle U","
Crystal Palace","England",51.581543,-0.0001023
"11","Wilfried Zaha","CIV","F","1.80","66","10-11-92","Abidjan","Manchester U","
Crystal Palace","England",5.320357,-4.016107
"12","Mamadou Sakho","FRA","D","1.87","80","13-02-90","Paris","Liverpool","
Crystal Palace","England",48.8566969,2.3514616
"13","Wayne Hennessey","WAL","G","1.97","89","24-01-87","Bangor","Wolverhampton W","
Crystal Palace","England",44.8011821,-68.7778138
"14","","","","","","","","","
Crystal Palace","England",NA,NA
"15","Jeffrey Schlupp","GHA","D","1.78","72","23-12-92","Hamburg","Leicester C","
Crystal Palace","England",53.5437641,10.0099133
"16","","","","","","","","","
Crystal Palace","England",NA,NA
"17","Christian Benteke","BEL","F","1.90","83","03-12-90","Kinshasa","Liverpool","
Crystal Palace","England",-4.3217055,15.3125974
"18","James McArthur","SCO","M","1.78","64","07-10-87","Glasgow","Wigan Ath","
Crystal Palace","England",55.8609825,-4.2488787
"19","Stephen Henderson","IRL","G","1.88","87","02-05-88","Dublin","Nottingham F","
Crystal Palace","England",53.3497645,-6.2602732
"20","Cenk Tosun","TUR","F","1.83","78","07-06-91","Wetzlar","Everton","
Crystal Palace","England",50.5525346,8.5074406
"21","","","","","","","","","
Crystal Palace","England",NA,NA
"22","James McCarthy","IRL","M","1.80","72","12-11-90","Glasgow","Everton","
Crystal Palace","England",55.8609825,-4.2488787
"23","","","","","","","","","
Crystal Palace","England",NA,NA
"24","Gary Cahill","ENG","D","1.93","86","19-12-85","Sheffield","Chelsea","
Crystal Palace","England",53.3806626,-1.4702278
"25","","","","","","","","","
Crystal Palace","England",NA,NA
"26","","","","","","","","","
Crystal Palace","England",NA,NA
"27","","","","","","","","","
Crystal Palace","England",NA,NA
"28","","","","","","","","","
Crystal Palace","England",NA,NA
"29","","","","","","","","","
Crystal Palace","England",NA,NA
"30","","","","","","","","","
Crystal Palace","England",NA,NA
"31","Vicente Guaita","ESP","G","1.90","81","10-01-87","Torrent","Getafe","
Crystal Palace","England",39.436668,-0.4656213
"32","","","","","","","","","
Crystal Palace","England",NA,NA
"33","","","","","","","","","
Crystal Palace","England",NA,NA
"34","Martin Kelly","ENG","D","1.91","77","27-04-90","Bolton","Liverpool","
Crystal Palace","England",53.5782863,-2.4300367
"35","","","","","","","","","
Crystal Palace","England",NA,NA
"36","Nikola Tavares","CRO","D","1.85","76","17-01-99","Cape Town","Brentford","
Crystal Palace","England",-33.928992,18.417396
"37","Nya Kirby","ENG","M","1.73","66","31-01-00","Islington","Tottenham H","
Crystal Palace","England",51.5384287,-0.0999051
"38","Gio McGregor","ENG","M","","","09-01-99","Hammersmith","Brentford","
Crystal Palace","England",51.4920377,-0.2236401
"39","Tyrick Mitchell","ENG","D","","","01-09-99","Brent","Brentford","
Crystal Palace","England",32.9373463,-87.1647184
"40","Brandon Pierrick","ENG","M","","","10-12-01","","None","
Crystal Palace","England",NA,NA
"42","Malachi Boateng","ENG","M","","","05-07-02","","None","
Crystal Palace","England",NA,NA
"43","David Boateng","ENG","M","","","08-05-01","","None","
Crystal Palace","England",NA,NA
"44","Jaïro Riedewald","NED","M","1.86","77","09-09-96","Amsterdam","Ajax","
Crystal Palace","England",52.3745403,4.89797550561798
"1","Jordan Pickford","ENG","G","1.85","77","07-03-94","Washington","Sunderland","Everton","England",38.8948932,-77.0365529
"2","Mason Holgate","ENG","D","1.84","63","22-10-96","Doncaster","Barnsley","Everton","England",53.5227681,-1.1335312
"3","Leighton Baines","ENG","D","1.70","74","11-12-84","Liverpool","Wigan Ath","Everton","England",53.407154,-2.991665
"4","","","","","","","","","Everton","England",NA,NA
"5","Michael Keane","ENG","D","1.91","82","11-01-93","Stockport","Burnley","Everton","England",53.407901,-2.160243
"6","","","","","","","","","Everton","England",NA,NA
"7","Richarlison","BRA","F","1.79","71","10-05-97","Nova Venécia","Watford","Everton","England",-18.7063456,-40.3969786
"8","Fabian Delph","ENG","M","1.74","60","21-11-89","Bradford","Manchester C","Everton","England",53.7944229,-1.7519186
"9","Dominic Calvert-Lewin","ENG","F","1.76","64","16-03-97","Sheffield","Sheffield U","Everton","England",53.3806626,-1.4702278
"10","Gylfi Sigurðsson","ISL","M","1.86","77","08-09-89","Reykjavik","Swansea C","Everton","England",64.145981,-21.9422367
"11","Theo Walcott","ENG","F","1.76","68","16-03-89","Stanmore","Arsenal","Everton","England",51.6188526,-0.3026271
"12","Lucas Digne","FRA","D","1.78","74","20-07-93","Meaux","Barcelona","Everton","England",48.9582708,2.8773541
"13","Yerry Mina","COL","D","1.93","75","23-09-94","Guachené","Barcelona","Everton","England",3.14261345,-76.3878972097552
"14","","","","","","","","","Everton","England",NA,NA
"15","","","","","","","","","Everton","England",NA,NA
"16","","","","","","","","","Everton","England",NA,NA
"17","Alex Iwobi","NGA","M","1.80","75","03-05-96","Lagos","Arsenal","Everton","England",6.4550575,3.3941795
"18","Morgan Schneiderlin","FRA","M","1.81","75","08-11-89","Zettwiller","Manchester U","Everton","England",NA,NA
"19","Djibril Sidibé","FRA","D","1.82","73","29-07-92","Troyes","Monaco","Everton","England",48.2971626,4.0746257
"20","Bernard","BRA","M","1.67","52","08-09-92","Belo Horizonte","Shakhtar Donetsk","Everton","England",-19.9227318,-43.9450948
"21","André Gomes","POR","M","1.88","84","30-07-93","Vila Nova de Gaia","Barcelona","Everton","England",41.1300103,-8.6058415
"22","Maarten Stekelenburg","NED","G","1.97","92","22-09-82","Haarlem","Fulham","Everton","England",52.38370575,4.64355969655963
"23","Séamus Coleman","IRL","D","1.77","67","11-10-88","Killybegs","Sligo R","Everton","England",54.6362345,-8.4442592
"24","","","","","","","","","Everton","England",NA,NA
"25","Jean-Philippe Gbamin","CIV","M","1.86","83","25-05-95","San-Pédro","Mainz","Everton","England",5.014152,-6.94022371627317
"26","Tom Davies","ENG","M","1.80","70","30-06-98","Liverpool","None","Everton","England",53.407154,-2.991665
"27","Moise Kean","ITA","F","1.83","67","28-02-00","Vercelli","Juventus","Everton","England",45.55538265,8.34628367832727
"28","","","","","","","","","Everton","England",NA,NA
"29","Oumar Niasse","SEN","F","1.82","75","18-04-90","Ouakam","Lokomotiv Moscow","Everton","England",14.7247367,-17.4850662
"30","Cuco Martina","CUW","D","1.85","77","25-09-89","Rotterdam","Southampton","Everton","England",51.9228958,4.4631727
"31","","","","","","","","","Everton","England",NA,NA
"32","Jarrad Branthwaite","ENG","D","1.87","67","27-06-02","Carlisle","Carlisle U","Everton","England",54.8948478,-2.9362311
"33","","","","","","","","","Everton","England",NA,NA
"34","Beni Baningime","ENG","M","","","09-09-98","Kinshasa","None","Everton","England",-4.3217055,15.3125974
"35","Dennis Adeniran","ENG","M","1.80","74","02-01-99","Southwark","Fulham","Everton","England",51.5029222,-0.103458
"36","","","","","","","","","Everton","England",NA,NA
"37","","","","","","","","","Everton","England",NA,NA
"38","Ryan Astley","WAL","D","","","04-10-01","","None","Everton","England",NA,NA
"39","Matty Foulds","ENG","D","1.83","74","17-02-98","Bradford","Bury","Everton","England",53.7944229,-1.7519186
"40","","","","","","","","","Everton","England",NA,NA
"42","Anthony Gordon","ENG","M","","","24-02-01","","None","Everton","England",NA,NA
"43","Alex Denny","ENG","M","","","12-04-00","Chester","None","Everton","England",53.1908873,-2.8908955
"44","Nathangelo Markelo","NED","D","","","07-01-99","Groningen","FC Volendam","Everton","England",53.2217925,6.55824533479853
"46","Con Ouzounidis","AUS","D","","","08-10-99","","None","Everton","England",NA,NA
"47","Manasse Mampala","ENG","D","","","18-07-00","Kinshasa","None","Everton","England",-4.3217055,15.3125974
"48","Kyle John","ENG","M","","","13-02-01","","None","Everton","England",NA,NA
"50","Ellis Simms","ENG","F","","","05-01-01","Oldham","None","Everton","England",35.3907651,-102.6193428
"51","Kieran Phillips","ENG","F","","","23-06-00","","Huddersfield T","Everton","England",NA,NA
"52","Nicolas Hansen","USA","G","","","10-07-01","","Weston FC","Everton","England",NA,NA
"53","Harry Tyrer","ENG","G","","","06-12-01","Crosby","None","Everton","England",33.5778818,-101.2855737
"54","Joseph Anderson","ENG","D","","","06-02-01","Stalybridge","None","Everton","England",53.4840214,-2.0562536
"55","Einar Iversen","NOR","M","","","06-06-01","","Stord","Everton","England",NA,NA
"56","Žan Luk Leban","SVN","G","","","15-12-02","","Escola Varsovia","Everton","England",NA,NA
"57","Bobby Carroll","ENG","M","","","12-10-01","Doncaster","None","Everton","England",53.5227681,-1.1335312
"58","MacKenzie Hunt","ENG","M","","","14-11-01","","None","Everton","England",NA,NA
"59","Rhys Hughes","WAL","M","","","21-09-01","Wrexham","None","Everton","England",53.0465068,-2.9938137
"60","Jack Barrett","ENG","G","","","04-06-02","","None","Everton","England",NA,NA
"61","Lewis Dobbin","ENG","F","","","03-01-03","Stoke-on-Trent","None","Everton","England",53.0162014,-2.1812607
"62","Tyler Onyango","ENG","M","","","04-03-03","Luton","None","Everton","England",51.89107295,-0.423030407620178
"63","Jack McIntyre","ENG","G","","","18-10-02","Manchester","None","Everton","England",53.4794892,-2.2451148
"1","Kasper Schmeichel","DEN","G","1.85","76","05-11-86","Copenhagen","Leeds U","Leicester City","England",55.6867243,12.5700724
"2","James Justin","ENG","D","1.83","71","11-07-97","Luton","Luton T","Leicester City","England",51.89107295,-0.423030407620178
"3","Ben Chilwell","ENG","D","1.78","71","21-12-96","Milton Keynes","None","Leicester City","England",52.0429797,-0.7589607
"4","Çaglar Söyüncü","TUR","D","1.87","80","23-05-96","Izmir","Freiburg","Leicester City","England",38.4147331,27.1434119
"5","Wes Morgan","JAM","D","1.85","93","21-01-84","Nottingham","Nottingham F","Leicester City","England",52.9534193,-1.1496461
"6","Jonny Evans","NIR","D","1.88","77","02-01-88","Belfast","WBA","Leicester City","England",54.5964411,-5.9302761
"7","Demarai Gray","ENG","M","1.79","66","28-06-96","Birmingham","Birmingham C","Leicester City","England",52.4796992,-1.9026911
"8","Youri Tielemans","BEL","M","1.76","72","07-05-97","Sint-Pieters-Leeuw","Monaco","Leicester City","England",50.7800261,4.2443604
"9","Jamie Vardy","ENG","F","1.78","76","11-01-87","Sheffield","Fleetwood T","Leicester City","England",53.3806626,-1.4702278
"10","James Maddison","ENG","M","1.79","73","23-11-96","Coventry","Norwich C","Leicester City","England",52.4081812,-1.510477
"11","Marc Albrighton","ENG","M","1.74","67","18-11-89","Tamworth","Aston Villa","Leicester City","England",-31.0900743,150.9290159
"12","Danny Ward","WAL","G","1.91","88","22-06-93","Wrexham","Wrexham","Leicester City","England",53.0465068,-2.9938137
"13","","","","","","","","","Leicester City","England",NA,NA
"14","Kelechi Iheanacho","NGA","F","1.87","77","03-10-96","Owerri","Manchester C","Leicester City","England",5.489736,7.0341973
"15","Harvey Barnes","ENG","M","1.74","66","09-12-97","Burnley","None","Leicester City","England",53.7907262,-2.2439196
"16","","","","","","","","","Leicester City","England",NA,NA
"17","Ayoze Pérez","ESP","F","1.79","66","23-07-93","Santa Cruz de Tenerife","Newcastle U","Leicester City","England",28.469648,-16.2540884
"18","Daniel Amartey","GHA","M","1.83","78","01-12-94","Accra","FC København","Leicester City","England",5.5600141,-0.2057437
"19","","","","","","","","","Leicester City","England",NA,NA
"20","Hamza Choudhury","ENG","M","1.78","64","01-10-97","Loughborough","None","Leicester City","England",52.7723859,-1.2077985
"21","Ricardo Pereira","POR","D","1.75","70","06-10-93","Lisbon","FC Porto","Leicester City","England",38.7077507,-9.1365919
"22","Matthew James","ENG","M","1.78","74","22-07-91","Bacup","Manchester U","Leicester City","England",53.7024932,-2.201046
"23","","","","","","","","","Leicester City","England",NA,NA
"24","Nampalys Mendy","FRA","M","1.68","68","23-06-92","La Seyne-sur-Mer","Nice","Leicester City","England",43.1007714,5.8788948
"25","Wilfred Ndidi","NGA","M","1.87","80","16-12-96","Lagos","KRC Genk","Leicester City","England",6.4550575,3.3941795
"26","Dennis Praet","BEL","M","1.81","78","14-05-94","Leuven","Sampdoria","Leicester City","England",50.879202,4.7011675
"27","","","","","","","","","Leicester City","England",NA,NA
"28","Christian Fuchs","AUT","D","1.86","80","07-04-86","Pitten","Schalke","Leicester City","England",47.7161255,16.1865133
"29","","","","","","","","","Leicester City","England",NA,NA
"30","","","","","","","","","Leicester City","England",NA,NA
"31","","","","","","","","","Leicester City","England",NA,NA
"32","","","","","","","","","Leicester City","England",NA,NA
"33","Bartosz Kapustka","POL","M","1.79","60","23-12-96","Tarnów","Cracovia Kraków","Leicester City","England",50.0123784,20.9880739
"34","","","","","","","","","Leicester City","England",NA,NA
"35","Eldin Jakupovic","SUI","G","1.91","87","02-10-84","Sarajevo","Hull C","Leicester City","England",43.8519774,18.3866868
"36","","","","","","","","","Leicester City","England",NA,NA
"37","","","","","","","","","Leicester City","England",NA,NA
"38","Khanya Leshabela","RSA","M","1.75","72","18-09-99","","None","Leicester City","England",NA,NA
"39","Darnell Johnson","ENG","D","1.85","83","03-09-98","Leicester","None","Leicester City","England",52.6361398,-1.1330789
"40","Viktor Johansson","SWE","G","1.86","72","14-09-98","","Aston Villa","Leicester City","England",NA,NA
"42","Rhys Davies","WAL","G","","","27-11-99","Cardiff","Newport Co","Leicester City","England",51.4816546,-3.1791934
"43","Jakub Stolarczyk","POL","G","","","19-12-00","","None","Leicester City","England",NA,NA
"44","Vontae Daley-Campbell","ENG","D","","","04-04-01","","Arsenal","Leicester City","England",NA,NA
"45","George Hirst","ENG","F","","","15-02-99","Sheffield","OH Leuven","Leicester City","England",53.3806626,-1.4702278
"46","Callum Wright","ENG","M","","","02-05-00","","Blackburn R","Leicester City","England",NA,NA
"47","Josh Eppiah","BEL","F","","","11-10-98","","None","Leicester City","England",NA,NA
"48","Calvin Ughelumba","ITA","D","","","31-12-99","","None","Leicester City","England",NA,NA
"50","Darragh O'Connor","IRL","D","","","05-08-99","Clonroche","Wexford","Leicester City","England",52.4496112,-6.7179575
"51","Callum Hulme","ENG","M","1.70","65","10-11-00","Manchester","Bury","Leicester City","England",53.4794892,-2.2451148
"53","Tyrese Shade","ENG","M","","","","Birmingham","Solihull Moors","Leicester City","England",52.4796992,-1.9026911
"54","Conor Tee","ENG","M","","","15-07-00","Northampton","None","Leicester City","England",52.2381355,-0.8963907
"55","Ali Reghba","IRL","F","","","14-01-00","","Bohemians","Leicester City","England",NA,NA
"56","Luke Thomas","ENG","D","","","","","None","Leicester City","England",NA,NA
"57","Sidnei Tavares","POR","M","","","29-09-01","","None","Leicester City","England",NA,NA
"58","Adam Leathers","ENG","M","","","14-11-01","","None","Leicester City","England",NA,NA
"59","Dempsey Arlott-John","ENG","F","","","14-11-01","","None","Leicester City","England",NA,NA
"60","Dennis Gyamfi","GHA","D","","","","","None","Leicester City","England",NA,NA
"61","Will Russ","WAL","F","","","08-11-02","","Chesterfield","Leicester City","England",NA,NA
"62","Faiq Bolkiah","BRU","F","1.75","69","09-05-98","Los Angeles","Chelsea","Leicester City","England",34.0536909,-118.2427666
"63","Justen Kranthove","NED","D","1.92","81","19-09-00","Amsterdam","AFC '34","Leicester City","England",52.3745403,4.89797550561798
"64","Liam Loughlan","ENG","M","","","24-04-02","","None","Leicester City","England",NA,NA
"65","Terell Pennant","ENG","F","","","14-09-02","Leicester","None","Leicester City","England",52.6361398,-1.1330789
"","Ryan Bennett","ENG","D","1.88","70","06-03-90","Orsett","Wolverhampton W","Leicester City","England",51.5116644,0.3674076
"1","Alisson Becker","BRA","G","1.91","91","02-10-92","Novo Hamburgo","Roma","Liverpool","England",-29.6905705,-51.1429035
"2","Nathaniel Clyne","ENG","D","1.75","67","05-04-91","Stockwell","Southampton","Liverpool","England",51.472211,-0.1225014
"3","Fabinho","BRA","M","1.87","78","23-10-93","Campinas","Monaco","Liverpool","England",-22.90556,-47.06083
"4","Virgil van Dijk","NED","D","1.93","92","08-07-91","Breda","Southampton","Liverpool","England",51.5887845,4.7760237
"5","Georginio Wijnaldum","NED","M","1.75","69","11-11-90","Rotterdam","Newcastle U","Liverpool","England",51.9228958,4.4631727
"6","Dejan Lovren","CRO","D","1.88","84","05-07-89","Karlovac","Southampton","Liverpool","England",45.4892522,15.5486303
"7","James Milner","ENG","M","1.75","70","04-01-86","Wortley","Manchester C","Liverpool","England",53.7903187,-1.5831141
"8","Naby Keïta","GUI","M","1.72","64","10-02-95","Conakry","RB Leipzig","Liverpool","England",9.5170602,-13.6998434
"9","Roberto Firmino","BRA","F","1.81","76","02-10-91","Maceió","1899 Hoffenheim","Liverpool","England",-9.6476843,-35.7339264
"10","Sadio Mané","SEN","F","1.75","69","10-04-92","Sédhiou","Southampton","Liverpool","England",12.91008895,-15.5533027919228
