"Number","Name","Nat","Pos","Height","Weight","Date.of.Birth","Birth.Place","Previous.Club","Team","League","lat","long"
1,"Fernando Pacheco","ESP","G",1.87,81,"18-05-92","Badajoz","Real Madrid","Alavés","Spain",38.8780585,-6.9702048
2,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
3,"Rubén Duarte","ESP","D",1.72,68,"18-10-95","Almería","Espanyol","Alavés","Spain",36.8414197,-2.4628135
4,"Rodrigo Ely","BRA","D",1.88,82,"03-11-93","Lajeado","Milan","Alavés","Spain",-29.4671522,-51.9624046
5,"Víctor Laguardia","ESP","D",1.85,75,"05-11-89","Zaragoza","Zaragoza","Alavés","Spain",41.6521342,-0.8809428
6,"Lisandro Magallán","ARG","D",1.84,77,"27-09-93","La Plata","Ajax","Alavés","Spain",-34.9206797,-57.9537638
7,"Lucas","ESP","F",1.8,82,"10-09-88","La Coruña","West Ham U","Alavés","Spain",43.3712091,-8.3958768
8,"Tomás Pina","ESP","M",1.84,75,"14-10-87","Villarta de San Juan","Club Brugge","Alavés","Spain",39.2383954,-3.4235166
9,"Joselu","ESP","F",1.91,79,"27-03-90","Stuttgart","Newcastle U","Alavés","Spain",48.7784485,9.1800132
10,"Víctor Camarasa","ESP","M",1.83,76,"28-05-94","Meliana","Betis","Alavés","Spain",39.528475,-0.3488606
11,"Luis Rioja","ESP","M",1.73,65,"16-10-93","Seville","Almería","Alavés","Spain",37.3886303,-5.9953403
12,"Rafa Navarro","ESP","D",1.73,61,"23-02-94","Valencina de la Concepción","Betis","Alavés","Spain",37.4175713,-6.0738363
13,"Roberto","ESP","G",1.92,93,"10-02-86","Fuenlabrada","West Ham U","Alavés","Spain",40.282476,-3.7923422
14,"Burgui","ESP","F",1.84,71,"29-10-93","Burguillos del Cerro","Real Madrid B","Alavés","Spain",38.3798701,-6.5907481
15,"Ljubomir Fejsa","SRB","M",1.85,78,"14-08-88","Belgrade","Benfica","Alavés","Spain",44.8178131,20.4568974
16,"Edgar","ESP","M",1.85,80,"30-04-90","Arafo","Cruz Azul","Alavés","Spain",28.3404454,-16.4173287
17,"Adrián Marín","ESP","D",1.81,73,"09-01-97","Torre-Pacheco","Villarreal","Alavés","Spain",37.743133,-0.9539015
18,"Aleix Vidal","ESP","M",1.77,70,"21-08-89","Puigpelat","Sevilla","Alavés","Spain",41.2798081,1.2970011
19,"Manu García","ESP","M",1.82,74,"26-04-86","Vitoria-Gasteiz","Logroñés","Alavés","Spain",42.8465088,-2.6724025
20,"Pere Pons","ESP","M",1.77,70,"20-02-93","Sant Martí Vell","Girona","Alavés","Spain",42.0196093,2.9311901
21,"Martín Aguirregabiria","ESP","D",1.78,69,"10-05-96","Vitoria-Gasteiz","Alavés B","Alavés","Spain",42.8465088,-2.6724025
22,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
23,"Ximo","ESP","D",1.76,75,"23-01-90","Guadahortuna","Las Palmas","Alavés","Spain",37.5565391,-3.4008094
24,"Oliver Burke","SCO","M",1.74,75,"07-04-97","Melton Mowbray","WBA","Alavés","Spain",52.7649964,-0.887587
25,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
26,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
27,"Alberto Rodríguez","ESP","D",1.85,72,"10-09-97","Fuenlabrada","Atlético Madrid B","Alavés","Spain",40.282476,-3.7923422
28,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
29,"Borja Sainz","ESP","M",1.78,75,"01-02-01","Leioa","Alavés B","Alavés","Spain",43.3271048,-2.9846079
30,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
31,"Aritz Castro","ESP","G",1.79,85,"20-05-98","Vitoria-Gasteiz","Alavés B","Alavés","Spain",42.8465088,-2.6724025
32,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
33,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
34,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
35,"Ismael Gutiérrez","ESP","M",1.77,71,"07-08-00","Los Palacios y Villafranca","Betis B","Alavés","Spain",37.1582119,-5.9244567
36,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
37,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
38,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
39,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
40,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
1,"Unai Simón","ESP","G",1.9,86,"11-06-97","Vitoria-Gasteiz","Athletic Bilbao B","Athletic 
Bilbao","Spain",42.8465088,-2.6724025
2,"","","",NA,NA,"","","","Athletic 
Bilbao","Spain",NA,NA
3,"Unai Núñez","ESP","D",1.86,81,"30-01-97","Portugalete","Athletic Bilbao B","Athletic 
Bilbao","Spain",43.3191292,-3.0199529
4,"Íñigo Martínez","ESP","D",1.82,79,"17-05-91","Ondarroa","Real Sociedad","Athletic 
Bilbao","Spain",43.3207293,-2.4207497
5,"Yeray","ESP","D",1.83,78,"24-01-95","Barakaldo","Athletic Bilbao B","Athletic 
Bilbao","Spain",43.29548,-2.9900933
6,"Mikel San José","ESP","M",1.87,79,"30-05-89","Pamplona","Liverpool","Athletic 
Bilbao","Spain",42.8184538,-1.6442556
7,"Beñat","ESP","M",1.77,76,"19-02-87","Igorre","Betis","Athletic 
Bilbao","Spain",43.1642445,-2.7783435
8,"Unai López","ESP","M",1.69,64,"30-10-95","Errenteria","Athletic Bilbao B","Athletic 
Bilbao","Spain",43.3125271,-1.8986133
9,"Iñaki Williams","ESP","F",1.86,76,"15-06-94","Bilbao","Athletic Bilbao B","Athletic 
Bilbao","Spain",43.2630051,-2.9349915
10,"Iker Muniain","ESP","F",1.69,64,"19-12-92","Pamplona","Athletic Bilbao B","Athletic 
Bilbao","Spain",42.8184538,-1.6442556
11,"Íñigo Córdoba","ESP","F",1.8,74,"13-03-97","Bilbao","Athletic Bilbao B","Athletic 
Bilbao","Spain",43.2630051,-2.9349915
12,"Gaizka Larrazabal","ESP","F",1.8,81,"17-12-97","Bilbao","Zamudio","Athletic 
Bilbao","Spain",43.2630051,-2.9349915
13,"Iago Herrerín","ESP","G",1.87,92,"25-01-88","Bilbao","Athletic Bilbao B","Athletic 
Bilbao","Spain",43.2630051,-2.9349915
14,"Dani García","ESP","M",1.8,75,"24-05-90","Zumarraga","Eibar","Athletic 
Bilbao","Spain",43.0859968,-2.3140925
15,"Íñigo Lekue","ESP","D",1.8,73,"04-05-93","Bilbao","Athletic Bilbao B","Athletic 
Bilbao","Spain",43.2630051,-2.9349915
16,"Mikel Vesga","ESP","M",1.91,84,"08-04-93","Vitoria-Gasteiz","Alavés B","Athletic 
Bilbao","Spain",42.8465088,-2.6724025
17,"Yuri Berchiche","ESP","D",1.8,78,"10-02-90","Zarautz","Paris St-Germain","Athletic 
Bilbao","Spain",43.2834873,-2.1723467
18,"Óscar de Marcos","ESP","D",1.82,78,"14-04-89","Laguardia","Alavés","Athletic 
Bilbao","Spain",42.5535011,-2.5850848
19,"Ibai Gómez","ESP","F",1.79,73,"11-11-89","Bilbao","Alavés","Athletic 
Bilbao","Spain",43.2630051,-2.9349915
20,"Aritz Aduriz","ESP","F",1.82,78,"11-02-81","San Sebastián","Valencia","Athletic 
Bilbao","Spain",43.3224219,-1.9838889
21,"Ander Capa","ESP","D",1.73,70,"08-02-92","Portugalete","Eibar","Athletic 
Bilbao","Spain",43.3191292,-3.0199529
22,"Raúl García","ESP","M",1.84,84,"11-07-86","Pamplona","Atlético Madrid","Athletic 
Bilbao","Spain",42.8184538,-1.6442556
23,"Kenan Kodro","BIH","F",1.9,77,"19-08-93","San Sebastián","FC København","Athletic 
Bilbao","Spain",43.3224219,-1.9838889
24,"Mikel Balenziaga","ESP","D",1.77,75,"29-02-88","Zumárraga","Valladolid","Athletic 
Bilbao","Spain",43.0859968,-2.3140925
25,"Asier Villalibre","ESP","F",1.83,82,"30-09-97","Guernica","Basconia","Athletic 
Bilbao","Spain",43.3143628,-2.6778511
26,"","","",NA,NA,"","","","Athletic 
Bilbao","Spain",NA,NA
27,"Unai Vencedor","ESP","M",1.76,71,"15-11-00","Bilbao","Athletic Bilbao B","Athletic 
Bilbao","Spain",43.2630051,-2.9349915
28,"Jon Sillero","ESP","D",1.76,79,"24-05-98","Durango","Athletic Bilbao B","Athletic 
Bilbao","Spain",24.833333,-104.833333
29,"Daniel Vivian","ESP","D",1.83,83,"05-07-99","Vitoria-Gasteiz","Athletic Bilbao B","Athletic 
Bilbao","Spain",42.8465088,-2.6724025
30,"Gorka Guruzeta","ESP","F",1.88,73,"12-09-96","San Sebastián","Athletic Bilbao B","Athletic 
Bilbao","Spain",43.3224219,-1.9838889
31,"Jokin Ezkieta","ESP","G",1.94,78,"17-08-96","Pamplona","Barcelona B","Athletic 
Bilbao","Spain",42.8184538,-1.6442556
32,"Jesús Areso","ESP","D",1.82,81,"02-07-99","Cascante","Osasuna B","Athletic 
Bilbao","Spain",41.9993288,-1.6786611
33,"Jon Rojo","ESP","D",1.79,70,"22-12-96","Bilbao","Deusto","Athletic 
Bilbao","Spain",43.2630051,-2.9349915
34,"Oihan Sancet","ESP","M",1.88,74,"25-04-00","Iruñea","Athletic Bilbao B","Athletic 
Bilbao","Spain",42.8184538,-1.6442556
35,"Ander Iru","ESP","G",1.88,74,"22-08-98","Igorre","Basconia","Athletic 
Bilbao","Spain",43.1642445,-2.7783435
36,"","","",NA,NA,"","","","Athletic 
Bilbao","Spain",NA,NA
37,"","","",NA,NA,"","","","Athletic 
Bilbao","Spain",NA,NA
38,"","","",NA,NA,"","","","Athletic 
Bilbao","Spain",NA,NA
39,"","","",NA,NA,"","","","Athletic 
Bilbao","Spain",NA,NA
40,"","","",NA,NA,"","","","Athletic 
Bilbao","Spain",NA,NA
1,"Antonio Adán","ESP","G",1.91,88,"13-05-87","Madrid","Betis","
Atlético Madrid","Spain",40.4167047,-3.7035825
2,"José Giménez","URU","D",1.85,77,"20-01-95","Toledo","Danubio","
Atlético Madrid","Spain",39.8560679,-4.0239568
3,"","","",NA,NA,"","","","
Atlético Madrid","Spain",NA,NA
4,"Santiago Arias","COL","D",1.7,67,"13-01-92","Medellín","PSV Eindhoven","
Atlético Madrid","Spain",6.2443382,-75.573553
5,"Thomas Partey","GHA","M",1.85,76,"13-06-93","Odumase Krobo","Atlético Madrid B","
Atlético Madrid","Spain",6.1518553,0.0189577713143872
6,"Koke","ESP","M",1.77,73,"08-01-92","Madrid","Atlético Madrid B","
Atlético Madrid","Spain",40.4167047,-3.7035825
7,"João Félix","POR","F",1.8,62,"10-11-99","Viseu","Benfica","
Atlético Madrid","Spain",40.6574713,-7.9138664
8,"Saúl Ñiguez","ESP","M",1.84,76,"21-11-94","Elche","Atlético Madrid B","
Atlético Madrid","Spain",38.2653181,-0.6988488
9,"Álvaro Morata","ESP","F",1.89,85,"23-10-92","Madrid","Chelsea","
Atlético Madrid","Spain",40.4167047,-3.7035825
10,"Ángel Correa","ARG","F",1.72,67,"09-03-95","Rosario","San Lorenzo","
Atlético Madrid","Spain",-32.9595004,-60.6615415
11,"Thomas Lemar","FRA","M",1.7,58,"12-11-95","Baie-Mahault","Monaco","
Atlético Madrid","Spain",16.2679458,-61.5870766
12,"Renan Lodi","BRA","D",1.78,74,"08-04-98","Serrano","Athletico Paranaense","
Atlético Madrid","Spain",40.4253869,-3.6869007
13,"Jan Oblak","SVN","G",1.89,84,"07-01-93","Škofja Loka","Benfica","
Atlético Madrid","Spain",46.165274,14.3067474
14,"Marcos Llorente","ESP","M",1.84,73,"30-01-95","Madrid","Real Madrid","
Atlético Madrid","Spain",40.4167047,-3.7035825
15,"Stefan Savic","MNE","D",1.87,80,"08-01-91","Mojkovac","Fiorentina","
Atlético Madrid","Spain",42.9598028,19.5835552
16,"Héctor Herrera","MEX","M",1.82,70,"19-04-90","Tijuana","FC Porto","
Atlético Madrid","Spain",32.5010188,-116.9646629
17,"Ivan Šaponjic","SRB","F",1.92,84,"02-08-97","Nova Varoš","Benfica","
Atlético Madrid","Spain",43.4597045,19.8154494
18,"Felipe","BRA","D",1.85,77,"16-05-89","Mogi das Cruzes","FC Porto","
Atlético Madrid","Spain",-23.5234284,-46.1926671
19,"Diego Costa","ESP","F",1.86,87,"07-10-88","Lagarto","Chelsea","
Atlético Madrid","Spain",-10.9141791,-37.6715308
20,"Vitolo","ESP","M",1.84,81,"02-11-89","Las Palmas","Sevilla","
Atlético Madrid","Spain",28.128874,-15.4349448
21,"Yannick Ferreira Carrasco","BEL","M",1.81,73,"04-09-93","Elsene","Dalian Professional","
Atlético Madrid","Spain",50.8331141,4.3668279
22,"Mario Hermoso","ESP","D",1.84,74,"18-06-95","Madrid","Espanyol","
Atlético Madrid","Spain",40.4167047,-3.7035825
23,"Kieran Trippier","ENG","D",1.78,71,"19-09-90","Bury","Tottenham H","
Atlético Madrid","Spain",49.3132772,2.3439338
24,"","","",NA,NA,"","","","
Atlético Madrid","Spain",NA,NA
25,"","","",NA,NA,"","","","
Atlético Madrid","Spain",NA,NA
26,"","","",NA,NA,"","","","
Atlético Madrid","Spain",NA,NA
27,"Diego Conde","ESP","G",1.88,85,"20-10-98","Madrid","Atlético Madrid B","
Atlético Madrid","Spain",40.4167047,-3.7035825
28,"","","",NA,NA,"","","","
Atlético Madrid","Spain",NA,NA
29,"","","",NA,NA,"","","","
Atlético Madrid","Spain",NA,NA
30,"Andrés Solano","COL","D",1.76,72,"24-02-98","Santa Marta","Atlético Madrid B","
Atlético Madrid","Spain",17.0920157,-88.6118965
31,"","","",NA,NA,"","","","
Atlético Madrid","Spain",NA,NA
32,"Rodrigo Riquelme","ESP","M",1.74,69,"02-04-00","Madrid","Atlético Madrid B","
Atlético Madrid","Spain",40.4167047,-3.7035825
33,"Carlos Isaac","ESP","D",1.84,78,"30-04-98","Navalmoral de la Mata","Atlético Madrid B","
Atlético Madrid","Spain",39.8928306,-5.5401199
34,"Sergio Camello","ESP","F",1.77,69,"10-02-01","Madrid","Atlético Madrid B","
Atlético Madrid","Spain",40.4167047,-3.7035825
35,"Manu Sánchez","ESP","D",1.79,70,"24-08-00","Madrid","Atlético Madrid B","
Atlético Madrid","Spain",40.4167047,-3.7035825
36,"Mikel Carro","ESP","M",1.88,79,"25-01-99","Madrid","Atlético Madrid B","
Atlético Madrid","Spain",40.4167047,-3.7035825
37,"Alex Dos Santos","ESP","G",1.85,79,"15-01-99","Xinguara","Atlético Madrid B","
Atlético Madrid","Spain",-7.0998514,-49.9416632
38,"Toni Moya","ESP","M",1.8,75,"20-03-98","Mérida","Atlético Madrid B","
Atlético Madrid","Spain",38.9174665,-6.3443977
39,"Óscar Clemente","ESP","M",NA,NA,"26-03-99","Santa Cruz de Tenerife","Atlético Madrid B","
Atlético Madrid","Spain",28.469648,-16.2540884
40,"Darío Poveda","ESP","F",1.85,75,"13-03-97","San Vicente del Raspeig","Villarreal B","
Atlético Madrid","Spain",38.3964248,-0.5250339
41,"José Carlos Aliaga","ESP","D",NA,NA,"18-01-99","Sant Vicent del Raspeig","Atlético Madrid B","
Atlético Madrid","Spain",38.3964248,-0.5250339
42,"Ricard Sánchez","ESP","D",1.75,70,"22-02-00","Sant Jaume dels Domenys","Atlético Madrid B","
Atlético Madrid","Spain",41.2988526,1.5601007
43,"Adrián Ferreras","ESP","M",NA,NA,"10-04-00","Valladolid","Atlético Madrid B","
Atlético Madrid","Spain",41.6521328,-4.728562
44,"Alberto Salido","ESP","F",NA,NA,"19-01-00","Palma de Mallorca","Atlético Madrid B","
Atlético Madrid","Spain",39.5695818,2.6500745
45,"Fernando Medrano","ESP","D",NA,NA,"26-03-00","Madrid","Atlético Madrid B","
Atlético Madrid","Spain",40.4167047,-3.7035825
46,"Marco Moreno","ESP","D",NA,NA,"20-02-01","Las Palmas","Atlético Madrid B","
Atlético Madrid","Spain",28.128874,-15.4349448
47,"Óscar Castro","ESP","M",NA,NA,"20-06-01","Santa Cruz de Tenerife","Atlético Madrid B","
Atlético Madrid","Spain",28.469648,-16.2540884
48,"Germán Valera","ESP","F",1.7,68,"16-03-02","Murcia","Atlético Madrid B","
Atlético Madrid","Spain",37.9923795,-1.1305431
51,"José Saldaña","ESP","G",NA,NA,"09-05-01","Almería","Atlético Madrid B","
Atlético Madrid","Spain",36.8414197,-2.4628135
52,"Álex Fernández","ESP","G",NA,NA,"04-12-01","Madrid","Atlético Madrid B","
Atlético Madrid","Spain",40.4167047,-3.7035825
53,"Javier Hyjek","POL","M",NA,NA,"12-01-01","Madrid","Atlético Madrid B","
Atlético Madrid","Spain",40.4167047,-3.7035825
55,"Iker Recio","ESP","D",NA,NA,"17-06-01","Talavera de la Reina","Atlético Madrid B","
Atlético Madrid","Spain",39.9603798,-4.8311717
56,"Iván Montoro","ESP","M",NA,NA,"26-02-01","Alcorcón","Atlético Madrid B","
Atlético Madrid","Spain",40.3492998,-3.8284295
57,"Gonzalo Camello","ESP","D",NA,NA,"10-02-01","Madrid","Atlético Madrid B","
Atlético Madrid","Spain",40.4167047,-3.7035825
60,"Diego Lorenzo","ESP","F",NA,NA,"07-02-02","Madrid","Atlético Madrid B","
Atlético Madrid","Spain",40.4167047,-3.7035825
1,"Marc-André ter Stegen","GER","G",1.87,85,"30-04-92","Mönchengladbach","B Mönchengladbach","Barcelona","Spain",51.1946983,6.4353641
2,"Nélson Semedo","POR","D",1.77,67,"16-11-93","Lisbon","Benfica","Barcelona","Spain",38.7077507,-9.1365919
3,"Gerard Piqué","ESP","D",1.94,85,"02-02-87","Barcelona","Manchester U","Barcelona","Spain",41.3828939,2.1774322
4,"Ivan Rakitic","CRO","M",1.84,78,"10-03-88","Rheinfelden","Sevilla","Barcelona","Spain",47.5543859,7.7922905
5,"Sergio Busquets","ESP","M",1.89,76,"16-07-88","Sabadell","Barcelona B","Barcelona","Spain",41.5421013,2.1138977
6,"","","",NA,NA,"","","","Barcelona","Spain",NA,NA
7,"","","",NA,NA,"","","","Barcelona","Spain",NA,NA
8,"Arthur","BRA","M",1.72,67,"12-08-96","Goiânia","Grêmio","Barcelona","Spain",-16.680882,-49.2532691
9,"Luis Suárez","URU","F",1.82,86,"24-01-87","Salto","Liverpool","Barcelona","Spain",-23.1989983,-47.2913682
10,"Lionel Messi","ARG","F",1.7,72,"24-06-87","Rosario","Barcelona B","Barcelona","Spain",-32.9595004,-60.6615415
11,"Ousmane Dembélé","FRA","F",1.78,67,"15-05-97","Vernon","Borussia Dortmund","Barcelona","Spain",49.0917814,1.4886571
12,"","","",NA,NA,"","","","Barcelona","Spain",NA,NA
13,"Neto","BRA","G",1.9,84,"19-07-89","Araxá","Valencia","Barcelona","Spain",-19.5928536,-46.940241
14,"","","",NA,NA,"","","","Barcelona","Spain",NA,NA
15,"Clément Lenglet","FRA","D",1.86,81,"17-06-95","Beauvais","Sevilla","Barcelona","Spain",49.4300997,2.0823355
16,"","","",NA,NA,"","","","Barcelona","Spain",NA,NA
17,"Antoine Griezmann","FRA","F",1.75,71,"21-03-91","Mâcon","Atlético Madrid","Barcelona","Spain",46.3036683,4.8322266
18,"Jordi Alba","ESP","D",1.7,68,"21-03-89","L'Hospitalet de Llobregat","Valencia","Barcelona","Spain",41.3598601,2.0997927
19,"Martin Braithwaite","DEN","F",1.79,77,"05-06-91","Esbjerg","Leganés","Barcelona","Spain",55.4664892,8.4520751
20,"Sergi Roberto","ESP","D",1.78,68,"07-02-92","Reus","Barcelona B","Barcelona","Spain",41.1555564,1.1076133
21,"Frenkie de Jong","NED","M",1.79,69,"12-05-97","Arkel","Ajax","Barcelona","Spain",51.8655522,4.99668427545102
22,"Arturo Vidal","CHI","M",1.81,74,"22-05-87","Santiago","Bayern Munich","Barcelona","Spain",9.8694792,-83.7980749
23,"Samuel Umtiti","FRA","D",1.82,75,"14-11-93","Yaoundé","Lyon","Barcelona","Spain",3.8689867,11.5213344
24,"Júnior Firpo","ESP","D",1.84,75,"22-08-96","Santo Domingo","Betis","Barcelona","Spain",18.4801972,-69.942111
25,"","","",NA,NA,"","","","Barcelona","Spain",NA,NA
26,"Iñaki Peña","ESP","G",1.84,78,"02-03-99","Alicante","Barcelona B","Barcelona","Spain",38.353738,-0.4901846
27,"","","",NA,NA,"","","","Barcelona","Spain",NA,NA
28,"Riqui Puig","ESP","M",1.69,56,"13-08-99","Matadepera","Barcelona B","Barcelona","Spain",41.6012311,2.0275199
29,"","","",NA,NA,"","","","Barcelona","Spain",NA,NA
30,"Álex Collado","ESP","M",1.73,65,"22-04-99","Sabadell","Barcelona B","Barcelona","Spain",41.5421013,2.1138977
31,"Ansu Fati","ESP","M",1.78,55,"31-10-02","Bissau","Barcelona B","Barcelona","Spain",11.861324,-15.583055
32,"Guillem Jaime","ESP","M",1.77,70,"06-01-99","Torreforta","Barcelona B","Barcelona","Spain",41.119071,1.2155331
33,"Ronald Araújo","URU","D",1.91,91,"07-03-99","Rivera","Boston River","Barcelona","Spain",-30.900058,-55.5408151
34,"Ferran Sarsanedas","ESP","M",1.77,71,"11-02-97","Amer","Barcelona B","Barcelona","Spain",42.0092186,2.6030327
35,"Dani Morer","ESP","D",1.69,65,"05-02-98","Mataró","Barcelona B","Barcelona","Spain",41.5398348,2.4448926
36,"Arnau Tenas","ESP","G",1.85,75,"30-05-01","Vic","Barcelona B","Barcelona","Spain",-36.5986096,144.6780052
37,"Hiroki Abe","JPN","F",1.71,65,"28-01-99","Tokyo","Kashima Antlers","Barcelona","Spain",35.6828387,139.7594549
38,"Kike Saverio","ECU","F",1.78,69,"19-06-99","Genoa","Barcelona B","Barcelona","Spain",44.40726,8.9338624
39,"Sergio Akieme","ESP","D",1.75,65,"16-12-97","Madrid","Rayo Vallecano","Barcelona","Spain",40.4167047,-3.7035825
40,"Chumi","ESP","D",1.84,75,"02-03-99","Laracha","Barcelona B","Barcelona","Spain",43.403735,-6.0348949
41,"Rey Manaj","ALB","F",1.82,76,"24-02-97","Lushnjë","Albacete","Barcelona","Spain",40.9422038,19.7059724
1,"Joel Robles","ESP","G",1.95,90,"17-06-90","Leganés","Everton","Betis","Spain",40.3281942,-3.76527
2,"","","",NA,NA,"","","","Betis","Spain",NA,NA
3,"Javi García","ESP","M",1.86,78,"08-02-87","Mula","Zenit St Petersburg","Betis","Spain",38.0418669,-1.4906872
4,"Zouhair Feddal","MAR","D",1.91,78,"01-01-89","Tétouan","Alavés","Betis","Spain",35.570175,-5.3742776
5,"Marc Bartra","ESP","D",1.84,75,"15-01-91","San Jaime dels Domenys","Borussia Dortmund","Betis","Spain",NA,NA
6,"Alfonso Pedraza","ESP","M",1.82,75,"09-04-96","San Sebastián de los Ballesteros","Villarreal","Betis","Spain",37.6535266,-4.8240997
7,"Juanmi","ESP","F",1.72,69,"20-05-93","Coín","Real Sociedad","Betis","Spain",36.6600506,-4.7565615
8,"Nabil Fekir","FRA","M",1.73,72,"18-07-93","Lyon","Lyon","Betis","Spain",45.7578137,4.8320114
9,"Borja Iglesias","ESP","F",1.87,79,"17-01-93","Santiago de Compostela","Celta Vigo","Betis","Spain",42.8804219,-8.5458608
10,"Sergio Canales","ESP","M",1.8,74,"16-02-91","Santander","Real Sociedad","Betis","Spain",43.4620412,-3.8099719
11,"Cristian Tello","ESP","M",1.78,65,"11-08-91","Sabadell","Barcelona","Betis","Spain",41.5421013,2.1138977
12,"Sidnei","BRA","D",1.85,84,"23-08-89","Alegrete","Deportivo La Coruña","Betis","Spain",-29.790166,-55.794862
13,"Dani Martín","ESP","G",1.86,76,"08-07-98","Gijón","Sporting Gijón","Betis","Spain",43.5450394,-5.6626443
14,"William Carvalho","POR","M",1.87,79,"07-04-92","Luanda","Sporting CP","Betis","Spain",-8.8272699,13.2439512
15,"Álex Moreno","ESP","D",1.79,68,"06-08-93","Sant Sadurní d'Anoia","Rayo Vallecano","Betis","Spain",41.4261458,1.7849898
16,"Loren Morón","ESP","F",1.8,66,"30-12-93","Marbella","Marbella","Betis","Spain",36.508976,-4.88562
17,"Joaquín","ESP","M",1.79,75,"21-07-81","El Puerto de Santa Maria","Fiorentina","Betis","Spain",36.601468,-6.2381494
18,"Andrés Guardado","MEX","M",1.69,60,"28-09-86","Guadalajara","PSV Eindhoven","Betis","Spain",20.6720375,-103.3383962
19,"Antonio Barragán","ESP","D",1.87,83,"12-06-87","Pontedeume","Middlesbrough","Betis","Spain",43.4072585,-8.1718823
20,"Diego Lainez","MEX","M",1.67,58,"09-06-00","Villahermosa","América","Betis","Spain",18.0018152,-92.9330401483751
21,"Guido Rodríguez","ARG","M",1.85,78,"12-04-94","Sáenz Peña","América","Betis","Spain",-34.6094188,-58.3866019
22,"Emerson","BRA","D",1.83,70,"14-01-99","São Paulo","Atlético Mineiro","Betis","Spain",-23.5506507,-46.6333824
23,"Aïssa Mandi","ALG","D",1.84,78,"22-10-91","Châlons-en-Champagne","Reims","Betis","Spain",48.9566218,4.3628851
24,"Carles Aleñà","ESP","M",1.8,70,"05-01-98","Mataró","Barcelona","Betis","Spain",41.5398348,2.4448926
25,"","","",NA,NA,"","","","Betis","Spain",NA,NA
26,"","","",NA,NA,"","","","Betis","Spain",NA,NA
27,"","","",NA,NA,"","","","Betis","Spain",NA,NA
28,"","","",NA,NA,"","","","Betis","Spain",NA,NA
29,"","","",NA,NA,"","","","Betis","Spain",NA,NA
30,"Dani Rebollo","ESP","G",NA,NA,"10-12-99","Lepe","Betis B","Betis","Spain",37.2551712,-7.201556
31,"Carlos Marín","ESP","G",1.87,79,"20-02-97","Almería","Atlético Madrid B","Betis","Spain",36.8414197,-2.4628135
32,"Edgar","ESP","D",1.93,85,"01-04-97","Sant Joan Despí","Espanyol B","Betis","Spain",41.3667951,2.0570346
33,"Roberto González","ESP","F",NA,NA,"08-01-01","Mérida","Betis B","Betis","Spain",38.9174665,-6.3443977
34,"Álex Meléndez","ESP","M",1.78,66,"13-05-99","Seville","Betis B","Betis","Spain",37.3886303,-5.9953403
35,"Raúl","ESP","F",NA,NA,"30-11-00","Olesa de Montserrat","Betis B","Betis","Spain",41.543053,1.8931874
36,"José Calderón","ESP","D",NA,NA,"07-01-00","Paradas","Betis B","Betis","Spain",37.2894922,-5.496965
37,"","","",NA,NA,"","","","Betis","Spain",NA,NA
38,"","","",NA,NA,"","","","Betis","Spain",NA,NA
39,"","","",NA,NA,"","","","Betis","Spain",NA,NA
40,"","","",NA,NA,"","","","Betis","Spain",NA,NA
1,"Sergio Álvarez","ESP","G",1.79,75,"03-08-86","Catoria","Celta B","Celta Vigo","Spain",NA,NA
2,"Hugo Mallo","ESP","D",1.81,78,"22-06-91","Marín","Celta B","Celta Vigo","Spain",38.0409144,-122.6199638
3,"","","",NA,NA,"","","","Celta Vigo","Spain",NA,NA
4,"Néstor Araujo","MEX","D",1.88,85,"29-08-91","Guadalajara","Santos Laguna","Celta Vigo","Spain",20.6720375,-103.3383962
5,"Okay Yokuslu","TUR","M",1.88,79,"09-03-94","Izmir","Trabzonspor","Celta Vigo","Spain",38.4147331,27.1434119
6,"Denis Suárez","ESP","M",1.76,69,"06-01-94","Salceda de Caselas","Barcelona","Celta Vigo","Spain",42.1021279,-8.5579472
7,"Juan Hernández","ESP","F",1.77,71,"06-12-94","Lorca","Getafe B","Celta Vigo","Spain",37.6715679,-1.6988053
8,"Fran Beltrán","ESP","M",1.7,64,"03-02-99","Madrid","Rayo Vallecano","Celta Vigo","Spain",40.4167047,-3.7035825
9,"Fedor Smolov","RUS","F",1.87,80,"09-02-90","Saratov","Lokomotiv Moscow","Celta Vigo","Spain",51.530018,46.034683
10,"Iago Aspas","ESP","F",1.76,67,"11-08-87","Moaña","Sevilla","Celta Vigo","Spain",42.2816553,-8.7356868
